?Specia,GrupaSpecii,Simbol,SortimentPrimar,GrupaSpeciiSortiment,SortimentIndustrial,SortimentSUMAL,SubsortimentSUMAL,PretFasonat_lei_mc
Duglas,Rasinoase,Du,LEMN ROTUND,Mo Br Du La,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,480.0
Duglas,Rasinoase,Du,LEMN ROTUND,Mo Br Du La,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,380.0
Duglas,Rasinoase,Du,LEMN ROTUND,Mo Br Du La,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,280.0
Duglas,Rasinoase,Du,LEMN ROTUND,Mo Br Du La,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,280.0
Duglas,Rasinoase,Du,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Duglas,Rasinoase,Du,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Fag,Foioase,FA,LEMN ROTUND,FA,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,420.0
Fag,Foioase,FA,LEMN ROTUND,FA,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,380.0
Fag,Foioase,FA,LEMN ROTUND,FA,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,280.0
Fag,Foioase,FA,LEMN ROTUND,FA,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,260.0
Fag,Foioase,FA,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Fag,Foioase,FA,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Frasin,Foioase,Fr,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,550.0
Frasin,Foioase,Fr,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,500.0
Frasin,Foioase,Fr,LEMN ROTUND,Ci Pa Fr Sb Nu,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Frasin,Foioase,Fr,LEMN ROTUND,Ci Pa Fr Sb Nu,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Frasin,Foioase,Fr,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Frasin,Foioase,Fr,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Garnita (L),Foioase,Ga,LEMN ROTUND,ST Go Ga,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,630.0
Garnita (L),Foioase,Ga,LEMN ROTUND,ST Go Ga,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,560.0
Garnita (L),Foioase,Ga,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Garnita (L),Foioase,Ga,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
